Question,Option A,Option C,Option D,Correct Answer,marks
S.No,To advertise products,To improve email security,To increase internet speed,B,1
Which element of an email should be checked first to detect phishing?,Email background color,Font style,Email size,B,1
What tactic do phishing emails often use to pressure victims?,Humor,Long stories,Friendly greetings,B,1
A phishing email often pretends to come from which type of organization?,Unknown companies,Local shops only,Personal friends only,B,1
What is a common sign of a phishing email link?,Short and simple URL,Suspicious or slightly modified domain name,No link in the email,C,1
What should you do if an email asks for your password?,Send it immediately,Verify through the official website or organization,Forward it to friends,C,1
Which attachment type can be dangerous in phishing emails?,Unknown file attachments,Text documents only,Secure PDFs only,A,1
Phishing emails commonly contain which type of message?,Educational articles,News updates,Weather reports,B,1
What psychological method do attackers use in phishing emails?,Entertainment,Humor and jokes,Silence,B,1
Which of the following is a typical phishing subject line?,Your account will be suspended immediately,Weekly Newsletter,Meeting Reminder,A,1
What should you do before clicking a link in an email?,Check the sender and hover over the link,Forward the email,Ignore the sender,A,1
What is one sign of a phishing email message body?,Perfect grammar always,Only advertisements,Movie recommendations,B,1
Which of the following is commonly targeted in phishing attacks?,Passwords and bank details,Movie preferences,Weather information,A,1
What should you do if you suspect an email is phishing?,Reply to confirm,Report or delete the email,Save it forever,C,1
Why is phishing dangerous?,It slows internet speed,It changes screen resolution,It blocks websites,B,1